day,month_section,of_the_clock_section_pre
2017/1/4,Jan,weekday
2017/1/5,Jan,weekday
2017/1/6,Jan,weekday
2017/1/7,Jan,holiday
2017/1/8,Jan,holiday
2017/1/9,Jan,holiday
2017/1/10,Jan,weekday
2017/1/11,Jan,weekday
2017/1/12,Jan,weekday
2017/1/13,Jan,weekday
2017/1/14,Jan,holiday
2017/1/15,Jan,holiday
2017/1/16,Jan,weekday
2017/1/17,Jan,weekday
2017/1/18,Jan,weekday
2017/1/19,Jan,weekday
2017/1/20,Jan,weekday
2017/1/21,Jan,holiday
2017/1/22,Jan,holiday
2017/1/23,Jan,weekday
2017/1/24,Jan,weekday
2017/1/25,Jan,weekday
2017/1/26,Jan,weekday
2017/1/27,Jan,weekday
2017/1/28,Jan,holiday
2017/1/29,Jan,holiday
2017/1/30,Jan,weekday
2017/1/31,Jan,weekday
2017/2/1,Feb,weekday
2017/2/2,Feb,weekday
2017/2/3,Feb,weekday
2017/2/4,Feb,holiday
2017/2/5,Feb,holiday
2017/2/6,Feb,weekday
2017/2/7,Feb,weekday
2017/2/8,Feb,weekday
2017/2/9,Feb,weekday
2017/2/10,Feb,weekday
2017/2/11,Feb,holiday
2017/2/12,Feb,holiday
2017/2/13,Feb,weekday
2017/2/14,Feb,weekday
2017/2/15,Feb,weekday
2017/2/16,Feb,weekday
2017/2/17,Feb,weekday
2017/2/18,Feb,holiday
2017/2/19,Feb,holiday
2017/2/20,Feb,weekday
2017/2/21,Feb,weekday
2017/2/22,Feb,weekday
2017/2/23,Feb,weekday
2017/2/24,Feb,weekday
2017/2/25,Feb,holiday
2017/2/26,Feb,holiday
2017/2/27,Feb,weekday
2017/2/28,Feb,weekday
2017/3/1,Mar_1st,weekday
2017/3/2,Mar_1st,weekday
2017/3/3,Mar_1st,weekday
2017/3/4,Mar_1st,holiday
2017/3/5,Mar_1st,holiday
2017/3/6,Mar_1st,weekday
2017/3/7,Mar_1st,weekday
2017/3/8,Mar_1st,weekday
2017/3/9,Mar_1st,weekday
2017/3/10,Mar_1st,weekday
2017/3/11,Mar_1st,holiday
2017/3/12,Mar_1st,holiday
2017/3/13,Mar_1st,weekday
2017/3/14,Mar_1st,weekday
2017/3/15,Mar_1st,weekday
2017/3/16,Mar_2nd,weekday
2017/3/17,Mar_2nd,weekday
2017/3/18,Mar_2nd,holiday
2017/3/19,Mar_2nd,holiday
2017/3/20,Mar_2nd,holiday
2017/3/21,Mar_2nd,weekday
2017/3/22,Mar_2nd,weekday
2017/3/23,Mar_2nd,weekday
2017/3/24,Mar_2nd,weekday
2017/3/25,Mar_2nd,holiday
2017/3/26,Mar_2nd,holiday
2017/3/27,Mar_2nd,weekday
2017/3/28,Mar_2nd,weekday
2017/3/29,Mar_2nd,weekday
2017/3/30,Mar_2nd,weekday
2017/3/31,Mar_2nd,weekday
2017/4/1,Apr,holiday
