start_day,3J-HYDR2,3SM-HYDR,1J-HYDR2,1SM-HYDR
2016/10/25,15818.4,9711,6341.4,4914
2016/10/26,15818.4,9711,6341.4,4914
2016/10/27,15818.4,9711,6341.4,4914
2016/10/28,15818.4,9711,6341.4,4914
2016/10/29,15818.4,9711,6341.4,4914
2016/10/30,15818.4,9711,6341.4,4914
2016/10/31,15818.4,9711,6341.4,4914
2016/11/1,15818.4,9711,6341.4,4914
2016/11/2,15818.4,9711,6341.4,4914
2016/11/3,15818.4,9711,6341.4,4914
2016/11/4,15818.4,9711,6341.4,4914
2016/11/5,15818.4,9711,6341.4,4914
2016/11/6,15818.4,9711,6341.4,4914
2016/11/7,15818.4,9711,6341.4,4914
2016/11/8,15818.4,9711,6341.4,4914
2016/11/9,15818.4,9711,6341.4,4914
2016/11/10,15818.4,9711,6341.4,4914
2016/11/11,15818.4,9711,6341.4,4914
2016/11/12,15818.4,9711,6341.4,4914
2016/11/13,15818.4,9711,6341.4,4914
2016/11/14,15818.4,9711,6341.4,4914
2016/11/15,15818.4,9711,6341.4,4914
2016/11/16,15818.4,9711,6341.4,4914
2016/11/17,15818.4,9711,6341.4,4914
2016/11/18,15818.4,9711,6341.4,4914
2016/11/19,15818.4,9711,6341.4,4914
2016/11/20,15818.4,9711,6341.4,4914
2016/11/21,15818.4,9711,6341.4,4914
2016/11/22,15818.4,9711,6341.4,4914
2016/11/23,15818.4,9711,6341.4,4914
2016/11/24,15818.4,9711,6341.4,4914
2016/11/25,15818.4,9711,6341.4,4914
2016/11/26,15818.4,9711,6341.4,4914
2016/11/27,15818.4,9711,6341.4,4914
2016/11/28,15818.4,9711,6341.4,4914
2016/11/29,15818.4,9711,6341.4,4914
2016/11/30,15818.4,9711,6341.4,4914
2016/12/1,15818.4,9711,6341.4,4914
2016/12/2,15818.4,9711,6341.4,4914
2016/12/3,15818.4,9711,6341.4,4914
2016/12/4,15818.4,9711,6341.4,4914
2016/12/5,15818.4,9711,6341.4,4914
2016/12/6,15818.4,9711,6341.4,4914
2016/12/7,15818.4,9711,6341.4,4914
2016/12/8,15818.4,9711,6341.4,4914
2016/12/9,15818.4,9711,6341.4,4914
2016/12/10,15818.4,9711,6341.4,4914
2016/12/11,15818.4,9711,6341.4,4914
2016/12/12,15818.4,9711,6341.4,4914
2016/12/13,15818.4,9711,6341.4,4914
2016/12/14,15818.4,9711,6341.4,4914
2016/12/15,15818.4,9711,6341.4,4914
2016/12/16,15818.4,9711,6341.4,4914
2016/12/17,15818.4,9711,6341.4,4914
2016/12/18,15818.4,9711,6341.4,4914
2016/12/19,15818.4,9711,6341.4,4914
2016/12/20,15818.4,9711,6341.4,4914
2016/12/21,15818.4,9711,6341.4,4914
2016/12/22,15818.4,9711,6341.4,4914
2016/12/23,15818.4,9711,6341.4,4914
2016/12/24,15818.4,9711,6341.4,4914
2016/12/25,15818.4,9711,6341.4,4914
2016/12/26,15818.4,9711,6341.4,4914
2016/12/27,15818.4,9711,6341.4,4914
2016/12/28,15818.4,9711,6341.4,4914
2016/12/29,15818.4,9711,6341.4,4914
2016/12/30,15818.4,9711,6341.4,4914
2016/12/31,15818.4,9711,6341.4,4914
2017/1/1,15818.4,9711,6341.4,4914
2017/1/2,15818.4,9711,6341.4,4914
2017/1/3,15818.4,9711,6341.4,4914
2017/1/4,15818.4,9711,6341.4,4914
2017/1/5,15818.4,9711,6341.4,4914
2017/1/6,15818.4,9711,6341.4,4914
2017/1/7,15818.4,9711,6341.4,4914
2017/1/8,15818.4,9711,6341.4,4914
2017/1/9,15818.4,9711,6341.4,4914
2017/1/10,15818.4,9711,6341.4,4914
2017/1/11,15818.4,9711,6341.4,4914
2017/1/12,15818.4,9711,6341.4,4914
2017/1/13,15818.4,9711,6341.4,4914
2017/1/14,15818.4,9711,6341.4,4914
2017/1/15,15818.4,9711,6341.4,4914
2017/1/16,15818.4,9711,6341.4,4914
2017/1/17,15818.4,9711,6341.4,4914
2017/1/18,15818.4,9711,6341.4,4914
2017/1/19,15818.4,9711,6341.4,4914
2017/1/20,15818.4,9711,6341.4,4914
2017/1/21,15818.4,9711,6341.4,4914
2017/1/22,15818.4,9711,6341.4,4914
2017/1/23,15818.4,9711,6341.4,4914
2017/1/24,15818.4,9711,6341.4,4914
2017/1/25,15818.4,9711,6341.4,4914
2017/1/26,15818.4,9711,6341.4,4914
2017/1/27,15818.4,9711,6341.4,4914
2017/1/28,15818.4,9711,6341.4,4914
2017/1/29,15818.4,9711,6341.4,4914
2017/1/30,15818.4,9711,6341.4,4914
2017/1/31,15818.4,9711,6341.4,4914
2017/2/1,15818.4,9711,6341.4,4914
2017/2/2,15818.4,9711,6341.4,4914
2017/2/3,15818.4,9711,6341.4,4914
2017/2/4,15818.4,9711,6341.4,4914
2017/2/5,15818.4,9711,6341.4,4914
2017/2/6,15818.4,9711,6341.4,4914
2017/2/7,15818.4,9711,6341.4,4914
2017/2/8,15818.4,9711,6341.4,4914
2017/2/9,15818.4,9711,6341.4,4914
